fittest, mean, closest_distance_to_mountaintop, average_time_not_on_mountain, mean_links, max_links
42.266, 110.752, 6.328, 1926.5, 24.0, 40
37.743, 110.65, 6.172, 1917.0, 26.0, 40
36.723, 92.447, 2.444, 1591.6, 29.0, 40
56.492, 120.953, 7.203, 2111.4, 23.0, 40
56.492, 109.473, 6.608, 1891.4, 22.0, 40
78.045, 118.899, 4.757, 2096.6, 28.0, 40
71.43, 110.221, 6.54, 1913.3, 18.0, 40
41.819, 108.255, 6.54, 1861.6, 23.0, 43
41.819, 111.878, 4.421, 1953.4, 31.0, 49
39.009, 116.806, 7.52, 2020.6, 20.0, 40
38.858, 95.098, 6.91, 1598.1, 32.0, 49
38.858, 101.743, 6.87, 1743.3, 40.0, 40
38.858, 121.745, 6.829, 2132.8, 31.0, 121
84.27, 130.069, 6.91, 2296.7, 29.0, 40
38.858, 103.993, 5.308, 1798.2, 38.0, 43
52.379, 126.816, 6.119, 2230.9, 18.0, 40
44.621, 104.975, 5.034, 1807.0, 43.0, 121
44.621, 111.631, 7.125, 1924.1, 36.0, 121
84.15, 122.357, 5.768, 2154.4, 35.0, 121
84.15, 128.009, 7.125, 2253.0, 25.0, 40
123.376, 134.642, 7.288, 2377.6, 16.0, 40
62.658, 121.839, 6.304, 2145.4, 38.0, 58
70.003, 126.01, 2.673, 2241.5, 33.0, 58
44.515, 112.967, 1.894, 1991.4, 24.0, 49
37.873, 115.959, 6.476, 2022.4, 26.0, 49
55.914, 114.834, 5.746, 2012.4, 39.0, 124
43.58, 338.887, 3.723, 2541.4, 36.0, 139
26.515, 82.938, 4.432, 1382.8, 32.0, 49
26.515, 71.465, 4.432, 1189.2, 48.0, 121
26.515, 105.78, 4.432, 1838.1, 35.0, 52
52.327, 109.75, 4.548, 1914.6, 27.0, 49
39.425, 104.099, 5.695, 1800.4, 53.0, 124
39.425, 103.274, 5.017, 1794.0, 45.0, 121
37.816, 114.229, 6.613, 1986.2, 35.0, 49
32.297, 90.623, 5.02, 1527.0, 25.0, 49
17.774, 99.476, 3.788, 1712.2, 34.0, 49
42.317, 102.388, 5.562, 1755.5, 27.0, 58
44.621, 107.128, 3.857, 1867.0, 54.0, 121
38.858, 99.115, 3.69, 1702.1, 38.0, 121
38.858, 88.139, 5.411, 1468.0, 33.0, 49
38.858, 94.599, 6.742, 1599.1, 38.0, 43
38.858, 99.373, 6.742, 1685.8, 32.0, 40
38.858, 102.586, 7.421, 1749.3, 28.0, 40
38.858, 110.725, 6.91, 1913.0, 35.0, 40
38.858, 104.254, 6.757, 1784.4, 32.0, 40
38.858, 94.202, 7.429, 1578.2, 37.0, 67
38.858, 98.777, 6.172, 1675.2, 41.0, 121
25.587, 93.299, 3.669, 1583.7, 72.0, 121
35.526, 92.745, 4.988, 1564.1, 53.0, 121
35.526, 553.783, 4.988, 2889.7, 122.0, 364
30.364, 68.769, 4.21, 1159.8, 97.0, 121
30.364, 95.123, 1.915, 1647.7, 83.0, 121
20.453, 77.174, 4.898, 1305.4, 96.0, 121
20.453, 88.878, 5.077, 1501.2, 70.0, 121
29.742, 327.061, 2.646, 2331.2, 108.0, 139
29.742, 102.304, 2.646, 1789.0, 63.0, 121
22.123, 95.567, 1.793, 1668.1, 55.0, 121
22.123, 97.767, 4.937, 1697.9, 94.0, 121
21.002, 90.903, 3.076, 1566.4, 89.0, 121
21.002, 106.794, 3.076, 1875.7, 72.0, 121
21.002, 83.411, 3.076, 1426.6, 90.0, 121
21.002, 355.431, 3.076, 2883.4, 83.0, 148
21.002, 345.775, 3.076, 2686.0, 84.0, 130
21.002, 565.762, 3.076, 3122.0, 118.0, 202
21.002, 347.028, 3.076, 2693.8, 86.0, 130
