fittest, mean, closest_distance_to_mountaintop, average_time_not_on_mountain, smallest_creature_size, largest_creature_size, average_creature_size, mean_links, max_links
37.382, 206.376, 7.894, 3608.72, 0.585, 2.004, 1.959, 4.0, 19
37.501, 178.136, 7.991, 3040.42, 1.056, 2.004, 1.985, 4.0, 13
37.501, 238.922, 8.059, 4252.28, 1.756, 2.004, 1.999, 4.0, 13
37.501, 234.032, 6.867, 4160.48, 0.978, 2.004, 1.964, 4.0, 13
37.501, 216.282, 7.348, 3814.12, 0.978, 2.004, 1.923, 5.0, 13
38.051, 209.61, 6.562, 3672.48, 1.167, 2.004, 1.972, 5.0, 16
38.051, 228.735, 7.796, 4053.22, 1.167, 2.004, 1.977, 4.0, 28
37.769, 223.809, 7.796, 3958.1, 1.317, 2.004, 1.97, 4.0, 13
37.769, 237.626, 7.796, 4233.06, 1.317, 2.004, 1.976, 4.0, 13
37.769, 235.14, 7.532, 4196.04, 0.399, 2.004, 1.917, 4.0, 13
37.769, 236.807, 6.56, 4237.96, 1.317, 2.004, 1.89, 4.0, 13
37.769, 224.077, 7.342, 3984.98, 1.317, 2.004, 1.887, 3.0, 9
37.769, 226.718, 7.504, 4058.2, 1.317, 2.004, 1.806, 4.0, 13
37.769, 223.619, 6.754, 3979.72, 1.317, 2.004, 1.867, 3.0, 13
37.769, 208.814, 7.542, 3680.72, 0.902, 2.004, 1.859, 3.0, 13
37.751, 214.884, 4.586, 3808.88, 0.902, 2.004, 1.854, 4.0, 13
37.751, 241.077, 7.437, 4316.96, 1.234, 2.004, 1.913, 4.0, 13
37.751, 246.487, 5.592, 4437.0, 0.578, 2.004, 1.799, 4.0, 13
37.751, 229.261, 5.433, 4104.98, 0.578, 2.004, 1.716, 5.0, 27
37.751, 220.865, 6.567, 3913.52, 0.578, 2.004, 1.856, 6.0, 27
34.8, 221.318, 7.443, 3928.78, 0.578, 2.004, 1.827, 7.0, 40
36.65, 225.993, 7.305, 4010.26, 0.778, 2.004, 1.919, 9.0, 41
35.55, 225.654, 5.877, 4022.16, 0.778, 2.004, 1.875, 10.0, 49
37.751, 236.172, 6.62, 4215.44, 1.051, 2.004, 1.936, 10.0, 49
37.751, 250.772, 5.426, 4528.12, 1.051, 2.004, 1.863, 14.0, 85
39.497, 246.692, 5.589, 4473.66, 0.405, 2.004, 1.715, 18.0, 85
39.497, 242.779, 5.371, 4415.58, 0.482, 2.004, 1.653, 20.0, 85
39.497, 224.526, 6.855, 4019.48, 0.482, 2.004, 1.724, 13.0, 121
39.497, 228.208, 3.054, 4084.04, 0.482, 2.004, 1.79, 11.0, 121
